vrai_hop;rdrg;N;NAB
0;001;200;200
0;002;137;137
0;003;751;723
0;004;2379;2348
0;005;442;420
0;020;795;740
0;021;4347;3720
0;022;658;604
0;023;1408;1202
0;024;4219;3443
0;025;2629;822
0;026;1588;913
0;040;530;124
0;041;2932;1035
0;042;11976;3526
0;043;2171;279
0;044;3079;994
0;045;14746;4865
0;046;1631;338
0;047;7426;1099
0;048;4965;652
0;049;711;441
0;050;719;264
0;051;880;441
0;052;2375;646
0;053;14550;2226
0;054;4980;281
0;055;2224;744
0;056;1464;465
0;057;9135;390
0;058;29233;1271
0;070;489;352
0;071;5669;3468
0;072;2086;937
0;073;5035;2240
0;080;399;365
0;081;795;55
0;082;2228;664
0;090;310;248
0;091;625;568
0;092;3794;3604
0;093;6816;4953
0;094;1763;1105
0;095;690;469
0;096;987;509
0;097;8189;1801
0;098;13267;8174
0;110;1946;855
0;111;4719;324
0;112;1075;430
0;113;13258;8575
0;114;4337;2573
0;115;6196;1272
0;120;1803;1702
0;121;3956;2500
0;122;645;355
0;130;1735;1702
0;131;774;683
0;132;91;40
0;133;2127;1064
0;134;4594;1681
0;135;1703;476
0;136;8946;3439
0;137;7127;6761
0;138;638;520
0;139;31388;30153
0;140;25054;17586
0;141;14884;5750
0;142;1409;666
0;143;3340;1129
0;144;24695;10628
0;160;110;108
0;161;1089;1003
0;162;873;867
0;163;3032;3011
0;164;1;1
0;165;2218;2202
0;166;3699;3660
0;167;962;790
0;168;3580;3190
0;169;829;804
0;170;471;436
0;171;6912;6193
0;172;900;847
0;173;18570;11101
0;174;6410;799
0;175;21544;1143
0;176;2615;2250
0;177;865;767
0;178;471;328
0;179;5264;487
0;180;1001;629
0;190;10511;2608
0;191;9148;1102
0;192;21330;479
0;193;215;200
0;194;19602;7837
0;195;1040;247
0;196;823;221
0;197;6131;1567
0;198;3682;349
0;199;2915;270
0;200;1239;302
0;201;19099;2927
0;202;2897;278
0;203;6444;378
0;204;8536;1020
0;205;394;76
0;206;1365;819
0;207;5540;1138
0;220;4832;4153
0;221;14661;14400
0;222;616;340
0;223;2041;1785
0;224;2053;1505
0;225;13188;11951
0;226;9507;2771
0;227;8870;7046
0;228;16858;13517
0;229;2073;1433
0;240;7233;2191
0;241;9246;2197
0;242;922;389
0;243;9931;1510
0;244;8695;5801
0;245;2818;1449
0;246;1381;753
0;247;8122;2042
0;248;735;672
0;249;28216;6259
0;250;29272;7814
0;260;2006;1798
0;261;636;555
0;262;789;739
0;263;17021;12539
0;264;911;602
0;280;4124;1753
0;281;4720;1868
0;282;5860;2272
0;283;3949;1325
0;284;8913;6270
0;300;335;333
0;301;5945;5812
0;302;36213;35609
0;303;241;234
0;304;8189;7950
0;305;254;235
0;306;2177;2106
0;307;362;342
0;308;9765;9309
0;309;2102;1738
0;310;22415;19518
0;311;83;75
0;312;862;738
0;313;21838;15997
0;314;11937;8946
0;315;29269;19439
0;316;5546;3335
0;317;7606;3628
0;318;4164;1630
0;319;3089;1326
0;320;4965;3348
0;340;1320;375
0;341;3460;1086
0;342;8970;1520
0;343;6128;1944
0;344;443;378
0;345;412;361
