vrai_hop;rdrg;N;NAB
0;001;239;236
0;002;168;167
0;003;925;900
0;004;2124;2100
0;005;446;426
0;020;862;779
0;021;4643;3918
0;022;707;644
0;023;1314;1126
0;024;3982;3331
0;025;2226;803
0;026;1262;665
0;040;559;155
0;041;2836;1036
0;042;11988;3639
0;043;1873;239
0;044;3119;1055
0;045;14911;4944
0;046;1003;193
0;047;7130;961
0;048;4802;677
0;049;696;449
0;050;670;327
0;051;900;467
0;052;2659;658
0;053;14758;2243
0;054;5495;281
0;055;2551;901
0;056;1702;570
0;057;8348;449
0;058;15226;1161
0;070;576;396
0;071;5787;3406
0;072;1735;785
0;073;4477;1923
0;080;387;357
0;081;850;48
0;082;2206;695
0;090;301;247
0;091;574;515
0;092;4018;3823
0;093;6673;4671
0;094;1696;1148
0;095;808;546
0;096;1126;556
0;097;7763;1856
0;098;11966;7554
0;110;1745;783
0;111;4829;350
0;112;1108;423
0;113;13984;8662
0;114;4188;2420
0;115;35466;1296
0;120;1732;1642
0;121;4482;3085
0;122;775;395
0;130;1607;1579
0;131;856;761
0;132;80;39
0;133;1457;725
0;134;4821;1750
0;135;1790;564
0;136;8250;3352
0;137;6523;6240
0;138;642;521
0;139;34456;33200
0;140;24552;17610
0;141;14968;5942
0;142;1568;768
0;143;3630;1177
0;144;27028;11781
0;160;95;95
0;161;1491;1330
0;162;917;903
0;163;3719;3667
0;165;2091;2051
0;166;3563;3503
0;167;1020;683
0;168;3640;3184
0;169;755;721
0;170;433;394
0;171;7391;6709
0;172;728;688
0;173;18713;11245
0;174;6854;908
0;175;22837;1416
0;176;2588;2229
0;177;814;702
0;178;386;265
0;179;4161;462
0;180;883;530
0;190;8897;2314
0;191;9993;1124
0;192;21580;480
0;193;186;168
0;194;19776;7943
0;195;1010;273
0;196;679;196
0;197;4873;1442
0;198;2609;275
0;199;2571;293
0;200;1241;302
0;201;19271;2957
0;202;2060;224
0;203;6754;391
0;204;9099;1110
0;205;304;62
0;206;1469;913
0;207;5485;1231
0;220;4474;3814
0;221;15039;14756
0;222;694;363
0;223;2423;2139
0;224;2303;1776
0;225;13030;11918
0;226;8489;2537
0;227;9287;7582
0;228;15316;12555
0;229;2023;1400
0;240;6899;2151
0;241;8694;2057
0;242;830;345
0;243;8744;1366
0;244;9325;6311
0;245;2915;1454
0;246;1571;896
0;247;8266;2326
0;248;785;711
0;249;26828;6513
0;250;30273;8383
0;260;2171;1937
0;261;546;488
