vrai_hop;rdrg;N;NAB
0;001;201;201
0;002;113;113
0;003;646;620
0;004;2323;2292
0;005;468;440
0;020;695;619
0;021;4113;3569
0;022;664;607
0;023;1173;992
0;024;4185;3356
0;025;2726;773
0;026;1529;783
0;040;516;122
0;041;2856;927
0;042;10529;3099
0;043;2104;302
0;044;3023;937
0;045;13035;4411
0;046;3652;867
0;047;7545;1217
0;048;6053;889
0;049;724;485
0;050;706;316
0;051;1018;541
0;052;2003;536
0;053;13671;2155
0;054;4458;231
0;055;1724;617
0;056;1302;368
0;057;9911;463
0;058;20975;1178
0;070;526;365
0;071;5162;3450
0;072;2430;949
0;073;5939;2806
0;080;322;286
0;081;621;40
0;082;2691;611
0;090;323;259
0;091;554;513
0;092;3468;3190
0;093;7259;5172
0;094;1873;1091
0;095;522;354
0;096;1029;456
0;097;8308;1722
0;098;13583;7968
0;110;1877;736
0;111;3914;335
0;112;1046;412
0;113;11952;7510
0;114;2835;1606
0;115;5476;1063
0;120;1627;1548
0;121;4150;2507
0;122;613;342
0;130;1713;1679
0;131;678;590
0;132;88;50
0;133;4052;2320
0;134;4180;1631
0;135;1536;404
0;136;9542;3406
0;137;6602;6199
0;138;554;457
0;139;31667;30275
0;140;24557;17606
0;141;14271;5869
0;142;1381;679
0;143;3043;948
0;144;23918;11256
0;160;131;130
0;161;906;861
0;162;919;914
0;163;2725;2707
0;164;1;1
0;165;2519;2486
0;166;4065;4034
0;167;796;679
0;168;3450;3162
0;169;712;688
0;170;405;364
0;171;6087;5342
0;172;873;809
0;173;16079;10086
0;174;4769;678
0;175;22021;1225
0;176;2104;1792
0;177;736;553
0;178;668;505
0;179;7303;717
0;180;984;596
0;190;9708;2643
0;191;8420;1142
0;192;21360;531
0;193;207;189
0;194;18688;7489
0;195;882;230
0;196;1075;342
0;197;7386;1723
0;198;4941;512
0;199;3458;344
0;200;1276;325
0;201;18056;2567
0;202;4969;455
0;203;5220;256
0;204;7391;764
0;205;512;117
0;206;1228;629
0;207;5583;1036
0;220;4956;4164
0;221;13837;13534
0;222;590;297
0;223;1625;1391
0;224;2077;1508
0;225;12867;11398
0;226;9717;2640
0;227;8712;6719
0;228;18446;14357
0;229;2030;1423
0;240;7038;2075
0;241;9284;2270
0;242;827;320
0;243;10027;1487
0;244;8113;5345
0;245;2809;1454
0;246;1287;758
0;247;7321;1859
0;248;673;601
0;249;25822;5536
0;250;26323;6722
0;260;1712;1535
0;261;749;673
0;262;902;840
0;263;16689;12541
0;264;1041;700
0;280;4040;1639
0;281;4720;1867
0;282;5242;2115
0;283;3630;1102
0;284;8049;5586
0;300;334;333
0;301;5674;5543
0;302;31525;31073
0;303;252;245
0;304;5949;5810
0;305;229;215
0;306;1690;1639
0;307;349;316
0;308;9096;8726
0;309;2092;1757
0;310;19446;17020
0;311;89;81
0;312;786;643
0;313;22166;15392
0;314;10650;7388
0;315;26426;16902
0;316;5875;3198
0;317;7535;3502
0;318;4364;1571
0;319;3178;1289
0;320;4885;2911
0;340;1171;319
0;341;3308;976
0;342;9294;1154
0;343;6261;1986
0;344;457;397
0;345;357;312
0;346;2919;647
0;347;19056;2043
0;348;3913;891
0;349;2041;510
0;350;3542;531
0;351;3693;1110
0;360;959;743
0;361;3301;1565
0;362;6142;2915
0;363;12095;6133
0;364;7621;3150
0;380;1429;976
0;381;1385;474
0;382;1246;424
0;383;8323;7867
0;384;6761;1498
0;385;3236;1095
0;400;249;239
0;401;427;375
0;402;264;220
0;403;10304;8804
0;404;6266;1778
0;405;980;683
0;420;10470;2264
0;421;4283;737
0;422;10982;3786
0;423;430;67
0;424;3026;493
0;440;343;339
0;441;1038;1009
0;442;1637;1482
0;443;2940;2524
0;444;385;128
0;445;1733;1289
0;446;14125;9078
0;447;2378;1009
0;460;4979;2283
0;461;1379;634
0;462;702;202
0;463;14038;13037
0;464;1870;545
0;465;9915;2627
0;466;1490;792
0;467;2099;888
0;468;4861;1941
0;480;4480;4246
0;481;1267;845
0;482;9563;7801
0;483;3809;1000
0;484;2600;1564
0;500;1147;517
0;501;3062;2129
0;510;2031;1869
0;511;481;377
0;512;777;679
0;513;22184;14876
0;514;8827;6971
0;515;1863;680
0;516;1977;531
0;517;1981;295
0;518;880;485
0;530;1189;420
0;531;871;690
0;532;1894;343
0;540;21001;15235
0;541;498;254
0;542;550;218
0;543;372;226
0;544;2317;564
0;560;87747;25837
0;561;1047;445
0;562;1414;397
0;563;7040;1337
0;564;1053;315
0;565;814;67
0;566;8645;2084
0;580;272;124
0;581;25;13
0;583;5;5
0;590;13;13
0;591;44;37
0;592;18;18
0;593;103;97
0;600;33;33
0;601;60;50
0;602;128;115
0;603;141;87
0;610;21;21
0;611;96;70
0;612;155;122
0;613;65;56
0;614;323;112
0;620;31;29
0;621;91;47
0;622;122;97
0;623;65;57
0;624;256;52
0;625;110;49
0;626;174;34
0;630;86;85
0;631;85;82
0;632;162;64
0;633;451;232
0;634;210;155
0;635;52;47
0;636;330;249
0;637;1441;470
0;638;1876;265
0;639;252;113
0;640;383;116
0;650;256;221
0;651;766;359
0;660;1974;1803
0;661;1540;397
0;662;277;152
0;663;8602;2384
0;664;1577;687
0;680;464;322
0;681;1105;549
0;682;1115;691
0;683;917;419
0;690;1358;956
0;691;3658;1744
0;692;846;278
0;693;27681;5242
0;694;1815;592
0;710;746;664
0;711;1259;1157
0;720;5104;4823
0;721;2339;2078
0;722;1808;1047
0;723;5301;1808
0;724;2129;1617
0;740;669;441
0;750;502;53
0;751;5301;714
0;752;784;70
0;753;820;95
0;754;5720;615
0;755;1559;116
0;756;2623;191
0;757;6078;2088
0;758;934;62
0;759;373;49
0;760;5428;151
0;770;1020;65
0;771;1152;123
0;772;230;41
0;773;422;52
0;774;153;6
0;775;8904;924
0;776;1487;223
0;790;1137;875
0;791;3358;2299
0;792;1220;949
0;810;1282;603
0;811;856;102
0;812;10985;1311
0;813;3862;1745
0;814;415;77
0;815;1460;317
0;830;56;31
0;831;20;18
0;832;320;123
0;833;47;18
0;840;680;137
0;850;3096;2171
0;860;6372;2576
0;861;4548;1134
0;862;29738;1887
0;870;3;3
0;871;9;9
0;872;42;34
0;873;38;23
0;890;39;37
0;891;211;188
0;892;97;68
0;893;292;206
0;894;133;43
0;910;560;536
0;911;516;462
0;930;529;232
0;931;104;32
0;950;5641;4384
0;951;639;584
0;952;3797;2394
0;955;158;28
0;956;2145;237
