vrai_hop;rdrg;N;NAB
0;001;224;224
0;002;152;152
0;003;740;714
0;004;2335;2314
0;005;484;458
0;020;793;717
0;021;4302;3648
0;022;733;661
0;023;1337;1151
0;024;4120;3307
0;025;2436;716
0;026;1610;908
0;040;607;158
0;041;2936;999
0;042;12101;3514
0;043;2171;304
0;044;3055;1033
0;045;14159;4812
0;046;2080;473
0;047;7606;1110
0;048;6091;827
0;049;755;485
0;050;674;308
0;051;1768;889
0;052;2076;565
0;053;14261;2122
0;054;5131;261
0;055;2121;701
0;056;1450;408
0;057;9158;431
0;058;24648;1342
0;070;553;390
0;071;5306;3641
0;072;2345;1079
0;073;5545;2740
0;080;356;321
0;081;724;45
0;082;2636;689
0;090;310;254
0;091;597;532
0;092;3738;3554
0;093;6891;4959
0;094;1728;1139
0;095;617;414
0;096;1028;532
0;097;8250;1738
0;098;13019;7732
0;110;2037;860
0;111;4410;280
0;112;989;340
0;113;13176;8379
0;114;4191;2480
0;115;6949;1250
0;120;1702;1603
0;121;4029;2482
0;122;614;314
0;130;1812;1770
0;131;761;677
0;132;100;51
0;133;3713;2185
0;134;4445;1626
0;135;1581;435
0;136;9308;3726
0;137;6857;6509
0;138;565;460
0;139;30290;29067
0;140;24516;17412
0;141;13047;5167
0;142;1409;683
0;143;3290;1064
0;144;23597;10447
0;160;116;115
0;161;1075;978
0;162;950;943
0;163;2946;2924
0;165;2475;2454
0;166;3805;3751
0;167;934;800
0;168;3414;3069
0;169;707;679
0;170;452;408
0;171;6430;5759
0;172;828;776
0;173;17330;10509
0;174;6003;708
0;175;21596;1208
0;176;2586;2207
0;177;732;645
0;178;538;383
0;179;5725;521
0;180;961;585
0;190;9948;2541
0;191;9215;1078
0;192;21009;486
0;193;218;200
0;194;19181;7547
0;195;722;199
0;196;1082;306
0;197;6730;1686
0;198;4288;415
0;199;3318;334
0;200;1266;285
0;201;18989;2806
0;202;3742;318
0;203;5788;306
0;204;8000;853
0;205;436;75
0;206;1367;793
0;207;5640;1071
0;220;4839;4045
0;221;14274;14015
0;222;676;330
0;223;1768;1490
0;224;2141;1554
0;225;12806;11542
0;226;9195;2688
0;227;8716;6802
0;228;17420;13711
0;229;2197;1557
0;240;7209;2169
0;241;9259;2318
0;242;848;339
0;243;9820;1587
0;244;8596;5639
0;245;2793;1392
0;246;1287;726
0;247;7762;2056
0;248;620;562
0;249;26418;5687
0;250;27462;7452
0;260;1834;1647
0;261;694;616
0;262;842;792
0;263;16497;12039
0;264;958;623
0;280;4021;1696
0;281;4738;1838
0;282;5602;2267
0;283;3437;1121
0;284;8468;5986
0;300;320;320
0;301;5888;5780
0;302;34325;33906
0;303;240;229
0;304;7274;7053
0;305;240;218
0;306;2174;2104
0;307;327;308
0;308;9571;9116
0;309;2004;1632
0;310;21359;18384
0;311;72;67
0;312;846;714
0;313;21639;15711
0;314;10993;7832
0;315;28655;18408
0;316;5649;3246
0;317;7590;3452
0;318;4153;1514
0;319;3104;1277
0;320;4988;3139
0;340;1327;416
0;341;3457;1026
0;342;9275;1470
0;343;6122;1977
0;344;489;424
0;345;411;352
0;346;2941;788
0;347;19888;2373
0;348;3720;974
0;349;2173;676
0;350;4060;706
0;351;4230;1416
0;360;1008;785
0;361;3205;1580
0;362;6119;2893
0;363;11657;5825
0;364;7476;3164
0;380;1385;950
0;381;1291;424
0;382;1122;365
0;383;9111;8569
0;384;7365;1778
0;385;3376;1114
0;400;477;437
0;401;453;389
0;402;378;331
0;403;8813;7569
0;404;6548;1987
0;405;1181;785
0;420;11450;2523
0;421;5080;892
0;422;12017;3920
0;423;541;74
0;424;2965;506
0;440;443;442
0;441;1009;984
0;442;1616;1447
0;443;2844;2442
0;444;540;203
0;445;1627;1216
0;446;14780;9981
0;447;2463;1077
0;460;5533;2509
0;461;1305;598
0;462;697;183
0;463;15316;14306
0;464;1887;565
0;465;9752;2758
0;466;1945;1050
0;467;2174;934
0;468;5049;2094
0;480;4311;4044
0;481;1255;864
0;482;8706;7146
0;483;3436;895
0;484;2425;1606
